barcode,name,brand,grade,sugar,fat,protein,calories,source
no_barcode,Jackfruit sabzi (Kathal ki sabzi),Home/Restaurant,B,3.4,0.0,0.69,0.0,IndianDishes
no_barcode,Avial,Home/Restaurant,B,8.47,0.0,2.46,0.0,IndianDishes
no_barcode,Al yakhani,Home/Restaurant,B,4.65,0.0,2.86,0.0,IndianDishes
no_barcode,Shahi paneer,Home/Restaurant,B,6.64,0.0,5.06,0.0,IndianDishes
no_barcode,Paneer in butter sauce,Home/Restaurant,B,9.7,0.0,6.99,0.0,IndianDishes
no_barcode,Methi malai paneer,Home/Restaurant,B,8.15,0.0,7.34,0.0,IndianDishes
no_barcode,Chilli paneer,Home/Restaurant,B,3.31,0.0,2.1,0.0,IndianDishes
no_barcode,Paneer makhana korma,Home/Restaurant,B,4.63,0.0,3.24,0.0,IndianDishes
no_barcode,Kadhai Paneer,Home/Restaurant,B,7.34,0.0,4.33,0.0,IndianDishes
no_barcode,Roghan josh,Home/Restaurant,B,4.93,0.0,9.56,0.0,IndianDishes
no_barcode,Spinach mutton (Palak mutton),Home/Restaurant,B,3.45,0.0,5.74,0.0,IndianDishes
no_barcode,Pea keema curry (Matar keema ki sabzi),Home/Restaurant,B,6.24,0.0,8.43,0.0,IndianDishes
no_barcode,Keema kofta curry,Home/Restaurant,B,5.64,0.0,9.77,0.0,IndianDishes
no_barcode,Kashmiri mutton koftas (Gushtaba),Home/Restaurant,B,3.04,0.0,6.33,0.0,IndianDishes
no_barcode,Mutton yakhni,Home/Restaurant,A,0.84,0.0,8.27,0.0,IndianDishes
no_barcode,Chicken yakhni,Home/Restaurant,A,0.78,0.0,10.66,0.0,IndianDishes
no_barcode,Mutton do piaza,Home/Restaurant,A,4.14,0.0,9.39,0.0,IndianDishes
no_barcode,Mutton chops,Home/Restaurant,B,1.48,0.0,4.03,0.0,IndianDishes
no_barcode,Shammi kebab,Home/Restaurant,B,3.54,0.0,4.52,0.0,IndianDishes
no_barcode,Scotch egg,Home/Restaurant,B,1.91,0.0,4.05,0.0,IndianDishes
no_barcode,Shepherd's pie (with minced meat),Home/Restaurant,B,8.06,0.0,7.45,0.0,IndianDishes
no_barcode,Chicken curry,Home/Restaurant,A,3.38,0.0,11.79,0.0,IndianDishes
no_barcode,Tandoori chicken,Home/Restaurant,A,2.34,0.0,16.26,0.0,IndianDishes
no_barcode,Butter chicken,Home/Restaurant,A,3.74,0.0,10.92,0.0,IndianDishes
no_barcode,Chicken kebab,Home/Restaurant,B,1.11,0.0,3.71,0.0,IndianDishes
no_barcode,Chilli chicken,Home/Restaurant,A,2.86,0.0,9.57,0.0,IndianDishes
no_barcode,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),Home/Restaurant,A,2.51,0.0,11.48,0.0,IndianDishes
no_barcode,Fish curry (Machli curry),Home/Restaurant,A,3.77,0.0,8.76,0.0,IndianDishes
no_barcode,Fried fish (Indian style) (Tali hui machli),Home/Restaurant,B,5.4,0.0,4.35,0.0,IndianDishes
no_barcode,Fried fish and Chips (English Style) (Tali hui machli aur chips),Home/Restaurant,B,2.77,0.0,3.36,0.0,IndianDishes
no_barcode,Tomato fish,Home/Restaurant,B,3.18,0.0,2.39,0.0,IndianDishes
no_barcode,Baked fish with cheese sauce,Home/Restaurant,A,4.06,0.0,8.64,0.0,IndianDishes
no_barcode,Fish tikka,Home/Restaurant,A,3.91,0.0,16.0,0.0,IndianDishes
no_barcode,Tandoori fish,Home/Restaurant,A,2.37,0.0,11.19,0.0,IndianDishes
no_barcode,"Paneer, apple and pineapple salad",Home/Restaurant,B,8.35,0.0,3.88,0.0,IndianDishes
no_barcode,Russian salad,Home/Restaurant,B,6.5,0.0,4.26,0.0,IndianDishes
no_barcode,Pasta salad,Home/Restaurant,C,12.7,0.0,4.15,0.0,IndianDishes
no_barcode,Deviled egg,Home/Restaurant,B,2.23,0.0,4.97,0.0,IndianDishes
no_barcode,Hawain salad,Home/Restaurant,C,14.35,0.0,4.27,0.0,IndianDishes
no_barcode,Mixed pulse and vegetable salad,Home/Restaurant,C,13.96,0.0,4.74,0.0,IndianDishes
no_barcode,Sprouted moong salad ,Home/Restaurant,B,5.48,0.0,2.29,0.0,IndianDishes
no_barcode,Tossed salad,Home/Restaurant,B,4.95,0.0,1.02,0.0,IndianDishes
no_barcode,Mixed vegetable salad with curd sauce,Home/Restaurant,B,7.03,0.0,4.23,0.0,IndianDishes
no_barcode,Potato salad (Aloo ka salaad),Home/Restaurant,C,11.19,0.0,1.4,0.0,IndianDishes
no_barcode,Waldroff salad,Home/Restaurant,C,11.02,0.0,1.47,0.0,IndianDishes
no_barcode,Coleslaw,Home/Restaurant,B,5.59,0.0,1.24,0.0,IndianDishes
no_barcode,Fruit salad (Phalon ka salaad),Home/Restaurant,C,15.96,0.0,0.91,0.0,IndianDishes
no_barcode,Tomato onion raita (Tamatar aur pyaaz ka raita),Home/Restaurant,B,7.08,0.0,3.74,0.0,IndianDishes
no_barcode,Peanut raita (Mungfali ka raita),Home/Restaurant,B,9.3,0.0,8.59,0.0,IndianDishes
no_barcode,Sprouted moong raita ,Home/Restaurant,B,6.13,0.0,4.62,0.0,IndianDishes
no_barcode,Bottle gourd raita (Ghiya/Lauki ka raita),Home/Restaurant,B,5.76,0.0,3.98,0.0,IndianDishes
no_barcode,Cucumber raita (Kheere ka raita),Home/Restaurant,B,6.35,0.0,4.04,0.0,IndianDishes
no_barcode,Carrot and spinach raita (Gajar aur palak ka raita),Home/Restaurant,B,5.83,0.0,4.0,0.0,IndianDishes
no_barcode,Mint raita (Pudinay ka raita),Home/Restaurant,B,7.65,0.0,5.64,0.0,IndianDishes
no_barcode,Potato raita (Aloo ka raita),Home/Restaurant,C,10.24,0.0,4.22,0.0,IndianDishes
no_barcode,Boondi raita,Home/Restaurant,B,3.96,0.0,2.19,0.0,IndianDishes
